開催日,競技会名,区分名,SL区分,ラウンド記号,種目記号,SG区分,背番号,リーダー名,パートナー名,ジャッジ番号,ジャッジ名,PCS名,ジャッジ点数,乖離度,乖離度絶対値,ジャッジ人数,選手PCS得点
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,7,Viktor Nikovskiy,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,7,Viktor Nikovskiy,PS,5.25,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,7,Viktor Nikovskiy,CP,0,0,0.0314440688625108,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,8,Marco Sietas,TQ,5.5,1,1.05882352941176,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,8,Marco Sietas,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,8,Marco Sietas,PS,5.75,0.8,1.2,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,8,Marco Sietas,CP,0,0,0.0314440688625108,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,9,Paul Holmes,TQ,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,9,Paul Holmes,MM,5.5,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,9,Paul Holmes,PS,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,9,Paul Holmes,CP,6,0.8,1.16839916839917,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,10,Atsushi Yamada,TQ,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,10,Atsushi Yamada,MM,5.5,1,1.00249376558603,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,10,Atsushi Yamada,PS,0,0,0.0350109409190372,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,4,Emanuel Valeri,Tania Kehlet,10,Atsushi Yamada,CP,5.25,0.941176470588235,0.917431192660551,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,1,Shen Yi,TQ,5.5,1,1.03846153846154,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,1,Shen Yi,MM,0,0,0.0363339086202198,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,1,Shen Yi,PS,5.25,0.941176470588235,1.05882352941176,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,1,Shen Yi,CP,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,2,Eric Sourdeau,TQ,5.5,1,1.03846153846154,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,2,Eric Sourdeau,MM,0,0,0.0363339086202198,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,2,Eric Sourdeau,PS,4.75,0.941176470588235,0.941176470588235,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,2,Eric Sourdeau,CP,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,3,Michael Eichert,TQ,0,0,0.0343760742523204,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,3,Michael Eichert,MM,5.25,1,1.00990099009901,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,3,Michael Eichert,PS,0,0,0.0384615384615385,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,3,Michael Eichert,CP,5.75,0.941176470588235,1.05882352941176,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,4,Nick Fok,TQ,5.75,0.941176470588235,1.16839916839917,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,4,Nick Fok,MM,0,0,0.0363339086202198,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,4,Nick Fok,PS,5.25,0.941176470588235,1.05882352941176,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,4,Nick Fok,CP,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,5,Katia Vanone,TQ,0,0,0.0343760742523204,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,5,Katia Vanone,MM,5.5,0.941176470588235,1.10913140311804,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,6,Dmitry Zharkov,Olga Kulikova,5,Katia Vanone,PS,0,0,0.0384615384615385,10,2019/5/27
